Id,Item_ID,Product,Quantity,Price
70,I00070,Teclado Mecanico Fizz,2,174.9
71,I00071,"Smart TV LED 32""Samsung LED Tizen TV",1,1079.0
72,I00072,Smart TV 32” Philco LED Roku TV,2,949.0
73,I00073,"Projetor Smart Epson EpiqVision, FULL HD",1,3049.99
74,I00074,Carregador Turbo Tipo-C 50w,3,53.9
75,I00075,"Projetor Smart Epson EpiqVision, FULL HD",2,3049.99
76,I00076,Fone de ouvido Sem Fio QCY T27,4,129.86
77,I00077,Fone de Ouvido Profissional AKG K92,2,428.99
78,I00078,SSD Crucial 1TB NVMe M.2,3,449.0
79,I00079,Projetor EPSON Powerlite Wide Screen,3,2742.13
80,I00080,Película para iPhone 14Pro Anti impacto,4,51.8
81,I00081,Fone de ouvido Sem Fio QCY T27,4,129.86
82,I00082,Samsung Galaxy Tab S6 Lite,1,1799.01
83,I00083,Fone de ouvido Sem Fio QCY T27,4,129.86
84,I00084,"Projetor Smart Epson EpiqVision, FULL HD",2,3049.99
85,I00085,Fone de ouvido Sem Fio QCY T27,3,129.86
86,I00086,"Fone de Ouvido Sem Fio TWS, PHILIPS",3,124.91
87,I00087,Película para iPhone 14Pro Anti impacto,1,51.8
88,I00088,Fone de ouvido Sem Fio QCY T27,4,129.86
89,I00089,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
90,I00090,Samsung Galaxy Tab S6 Lite,4,1799.01
91,I00091,Película para iPhone 14Pro Anti impacto,3,51.8
92,I00092,"Fone de Ouvido Sem Fio TWS, PHILIPS",2,124.91
93,I00093,"Soundbar Tomate MTS-2017, Bivolt",2,769.9
94,I00094,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
95,I00095,Teclado Mecanico Fizz,3,174.9
96,I00096,"Soundbar Tomate MTS-2017, Bivolt",4,769.9
97,I00097,"Projetor Smart Epson EpiqVision, FULL HD",1,3049.99
98,I00098,Teclado Mecanico Fizz,3,174.9
99,I00099,Fone de ouvido Sem Fio QCY T27,4,129.86
100,I00100,Smart TV 32” Philco LED Roku TV,2,949.0
101,I00101,Mouse Redragon Wireless,1,165.99
102,I00102,ACER Notebook Gamer Nitro,2,4604.0
103,I00103,SSD Crucial 1TB NVMe M.2,4,449.0
104,I00104,"Projetor Smart Epson EpiqVision, FULL HD",1,3049.99
105,I00105,Película de Vidro 3D Galaxy A30s,4,17.9
106,I00106,"Projetor Smart Epson EpiqVision, FULL HD",2,3049.99
107,I00107,"Soundbar Samsung com 2.1 canais, Dolby Digital",4,1072.0
108,I00108,Mouse Redragon Wireless,2,165.99
109,I00109,Película para iPhone 14Pro Anti impacto,3,51.8
110,I00110,Carregador Turbo USB-C 30W,3,49.9
111,I00111,Projetor EPSON Powerlite Wide Screen,4,2742.13
112,I00112,Fone de ouvido Sem Fio QCY T27,3,129.86
113,I00113,Fone de ouvido Sem Fio QCY T27,3,129.86
114,I00114,Smart TV 32” Philco LED Roku TV,4,949.0
115,I00115,Samsung Galaxy A36,3,1979.1
116,I00116,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
117,I00117,"Soundbar Samsung com 2.1 canais, Dolby Digital",4,1072.0
118,I00118,Carregador Turbo USB-C 30W,1,49.9
119,I00119,SSD Crucial 1TB NVMe M.2,1,449.0
120,I00120,Película de Vidro 3D Galaxy A30s,2,17.9
121,I00121,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
122,I00122,Samsung Galaxy A36,1,1979.1
123,I00123,Fone de ouvido Sem Fio QCY T27,1,129.86
124,I00124,Samsung Galaxy A36,2,1979.1
125,I00125,Película de Vidro 3D Galaxy A30s,4,17.9
126,I00126,"Projetor Smart Epson EpiqVision, FULL HD",1,3049.99
127,I00127,Carregador Turbo Tipo-C 50w,3,53.9
128,I00128,Fone de ouvido Sem Fio QCY T27,2,129.86
129,I00129,"Monitor UHD Samsung 32""",4,1626.57
130,I00130,"Projetor Smart Epson EpiqVision, FULL HD",2,3049.99
131,I00131,"Soundbar Tomate MTS-2017, Bivolt",4,769.9
132,I00132,"Monitor UHD Samsung 32""",4,1626.57
133,I00133,"Smart TV LED 32""Samsung LED Tizen TV",3,1079.0
134,I00134,Teclado Mecanico Fizz,4,174.9
135,I00135,Mouse Redragon Wireless,1,165.99
136,I00136,"Monitor UHD Samsung 32""",3,1626.57
137,I00137,Samsung Galaxy Tab S6 Lite,3,1799.01
138,I00138,Smart TV 32” Philco LED Roku TV,2,949.0
139,I00139,Película de Vidro 3D Galaxy A30s,3,17.9
140,I00140,"Smart TV LED 32""Samsung LED Tizen TV",3,1079.0
141,I00141,Película de Vidro 3D Galaxy A30s,1,17.9
142,I00142,Mouse Redragon Wireless,4,165.99
143,I00143,Fone de Ouvido Profissional AKG K92,2,428.99
144,I00144,Carregador Turbo USB-C 30W,1,49.9
145,I00145,Fone de ouvido Sem Fio QCY T27,3,129.86
146,I00146,Película de Vidro 3D Galaxy A30s,1,17.9
147,I00147,Smart TV 32” Philco LED Roku TV,1,949.0
148,I00148,SSD Crucial 1TB NVMe M.2,4,449.0
149,I00149,"Monitor UHD Samsung 32""",4,1626.57
150,I00150,Samsung Galaxy A36,3,1979.1
151,I00151,Película para iPhone 14Pro Anti impacto,1,51.8
152,I00152,ACER Notebook Gamer Nitro,2,4604.0
153,I00153,Samsung Galaxy A36,4,1979.1
154,I00154,"Soundbar Tomate MTS-2017, Bivolt",3,769.9
155,I00155,"Fone de Ouvido Sem Fio TWS, PHILIPS",2,124.91
156,I00156,"Projetor Smart Epson EpiqVision, FULL HD",2,3049.99
157,I00157,"Soundbar Tomate MTS-2017, Bivolt",3,769.9
158,I00158,SSD Crucial 1TB NVMe M.2,1,449.0
159,I00159,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99
160,I00160,Fone de Ouvido Profissional AKG K92,1,428.99
161,I00161,Mouse Redragon Wireless,1,165.99
162,I00162,"Monitor UHD Samsung 32""",4,1626.57
163,I00163,"Monitor UHD Samsung 32""",1,1626.57
164,I00164,Samsung Galaxy Tab S6 Lite,3,1799.01
165,I00165,"Smart TV LED 32""Samsung LED Tizen TV",1,1079.0
166,I00166,Fone de Ouvido Profissional AKG K92,3,428.99
167,I00167,"Projetor Smart Epson EpiqVision, FULL HD",2,3049.99
168,I00168,Fone de Ouvido Profissional EDIFIER WH950NB,1,899.0
169,I00169,Fone de Ouvido Profissional EDIFIER WH950NB,3,899.0
170,I00170,Fone de ouvido Sem Fio QCY T27,2,129.86
171,I00171,SSD Crucial 1TB NVMe M.2,2,449.0
172,I00172,"Soundbar Tomate MTS-2017, Bivolt",4,769.9
173,I00173,Teclado Mecanico Fizz,2,174.9
174,I00174,ACER Notebook Gamer Nitro,1,4604.0
175,I00175,Projetor EPSON Powerlite Wide Screen,4,2742.13
176,I00176,Carregador Turbo USB-C 30W,3,49.9
177,I00177,Samsung Galaxy Tab S6 Lite,2,1799.01
178,I00178,Samsung Galaxy Tab S6 Lite,2,1799.01
179,I00179,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
180,I00180,"Soundbar Samsung com 2.1 canais, Dolby Digital",4,1072.0
181,I00181,Projetor EPSON Powerlite Wide Screen,2,2742.13
182,I00182,Fone de Ouvido Profissional AKG K92,3,428.99
183,I00183,"Smart TV LED 32""Samsung LED Tizen TV",2,1079.0
184,I00184,Samsung Galaxy A36,2,1979.1
185,I00185,Carregador Turbo USB-C 30W,1,49.9
186,I00186,"Monitor UHD Samsung 32""",2,1626.57
187,I00187,Película para iPhone 14Pro Anti impacto,1,51.8
188,I00188,Samsung Galaxy A36,4,1979.1
189,I00189,ACER Notebook Gamer Nitro,4,4604.0
190,I00190,Teclado Mecanico Fizz,2,174.9
191,I00191,"Soundbar Samsung com 2.1 canais, Dolby Digital",1,1072.0
192,I00192,"Monitor UHD Samsung 32""",2,1626.57
193,I00193,Mouse Redragon Wireless,3,165.99
194,I00194,Fone de ouvido Sem Fio QCY T27,4,129.86
195,I00195,Samsung Galaxy Tab S6 Lite,3,1799.01
196,I00196,Película para iPhone 14Pro Anti impacto,3,51.8
197,I00197,"Soundbar Tomate MTS-2017, Bivolt",3,769.9
198,I00198,SSD Crucial 1TB NVMe M.2,3,449.0
199,I00199,Projetor EPSON Powerlite Wide Screen,4,2742.13
200,I00200,Carregador Turbo USB-C 30W,3,49.9
201,I00201,"Soundbar Tomate MTS-2017, Bivolt",1,769.9
202,I00202,Fone de Ouvido Profissional AKG K92,2,428.99
203,I00203,"Monitor UHD Samsung 32""",3,1626.57
204,I00204,"Monitor UHD Samsung 32""",4,1626.57
205,I00205,Samsung Galaxy Tab S6 Lite,4,1799.01
206,I00206,ACER Notebook Gamer Nitro,4,4604.0
207,I00207,Projetor EPSON Powerlite Wide Screen,4,2742.13
208,I00208,Projetor EPSON Powerlite Wide Screen,3,2742.13
209,I00209,Mouse Redragon Wireless,3,165.99
210,I00210,SSD Crucial 1TB NVMe M.2,1,449.0
211,I00211,"Fone de Ouvido Sem Fio TWS, PHILIPS",3,124.91
212,I00212,Fone de Ouvido Profissional AKG K92,3,428.99
213,I00213,Samsung Galaxy A36,2,1979.1
214,I00214,"Smart TV LED 32""Samsung LED Tizen TV",3,1079.0
215,I00215,Película para iPhone 14Pro Anti impacto,3,51.8
216,I00216,Smart TV 32” Philco LED Roku TV,1,949.0
217,I00217,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
218,I00218,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99
219,I00219,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
220,I00220,"Fone de Ouvido Sem Fio TWS, PHILIPS",4,124.91
221,I00221,Película para iPhone 14Pro Anti impacto,3,51.8
222,I00222,Carregador Turbo USB-C 30W,3,49.9
223,I00223,Smart TV 32” Philco LED Roku TV,4,949.0
224,I00224,Carregador Turbo Tipo-C 50w,4,53.9
225,I00225,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
226,I00226,"Soundbar Tomate MTS-2017, Bivolt",1,769.9
227,I00227,"Monitor UHD Samsung 32""",1,1626.57
228,I00228,Fone de Ouvido Profissional EDIFIER WH950NB,3,899.0
229,I00229,"Soundbar Samsung com 2.1 canais, Dolby Digital",1,1072.0
230,I00230,Mouse Redragon Wireless,3,165.99
231,I00231,ACER Notebook Gamer Nitro,1,4604.0
232,I00232,Fone de ouvido Sem Fio QCY T27,2,129.86
233,I00233,"Soundbar Tomate MTS-2017, Bivolt",4,769.9
234,I00234,ACER Notebook Gamer Nitro,4,4604.0
235,I00235,"Monitor UHD Samsung 32""",3,1626.57
236,I00236,Fone de ouvido Sem Fio QCY T27,1,129.86
237,I00237,Samsung Galaxy Tab S6 Lite,4,1799.01
238,I00238,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
239,I00239,"Fone de Ouvido Sem Fio TWS, PHILIPS",3,124.91
240,I00240,Carregador Turbo USB-C 30W,4,49.9
241,I00241,SSD Crucial 1TB NVMe M.2,4,449.0
242,I00242,Película para iPhone 14Pro Anti impacto,3,51.8
243,I00243,Mouse Redragon Wireless,3,165.99
244,I00244,"Soundbar Tomate MTS-2017, Bivolt",2,769.9
245,I00245,Smart TV 32” Philco LED Roku TV,1,949.0
246,I00246,SSD Crucial 1TB NVMe M.2,1,449.0
247,I00247,"Projetor Smart Epson EpiqVision, FULL HD",4,3049.99
248,I00248,Carregador Turbo Tipo-C 50w,1,53.9
249,I00249,"Monitor UHD Samsung 32""",2,1626.57
250,I00250,Mouse Redragon Wireless,4,165.99
251,I00251,Fone de Ouvido Profissional EDIFIER WH950NB,4,899.0
252,I00252,ACER Notebook Gamer Nitro,1,4604.0
253,I00253,Fone de ouvido Sem Fio QCY T27,1,129.86
254,I00254,ACER Notebook Gamer Nitro,1,4604.0
255,I00255,Samsung Galaxy A36,2,1979.1
256,I00256,"Monitor UHD Samsung 32""",2,1626.57
257,I00257,Carregador Turbo USB-C 30W,1,49.9
258,I00258,Carregador Turbo USB-C 30W,2,49.9
259,I00259,Fone de Ouvido Profissional AKG K92,3,428.99
260,I00260,"Fone de Ouvido Sem Fio TWS, PHILIPS",3,124.91
261,I00261,Carregador Turbo Tipo-C 50w,4,53.9
262,I00262,"Monitor UHD Samsung 32""",3,1626.57
263,I00263,"Soundbar Tomate MTS-2017, Bivolt",4,769.9
264,I00264,Smart TV 32” Philco LED Roku TV,1,949.0
265,I00265,"Projetor Smart Epson EpiqVision, FULL HD",2,3049.99
266,I00266,"Soundbar Samsung com 2.1 canais, Dolby Digital",1,1072.0
267,I00267,Película para iPhone 14Pro Anti impacto,3,51.8
268,I00268,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
269,I00269,Projetor EPSON Powerlite Wide Screen,3,2742.13
270,I00270,Fone de Ouvido Profissional EDIFIER WH950NB,1,899.0
271,I00271,"Smart TV LED 32""Samsung LED Tizen TV",2,1079.0
272,I00272,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99
273,I00273,Projetor EPSON Powerlite Wide Screen,4,2742.13
274,I00274,Teclado Mecanico Fizz,4,174.9
275,I00275,Teclado Mecanico Fizz,3,174.9
276,I00276,Samsung Galaxy A36,3,1979.1
277,I00277,Película para iPhone 14Pro Anti impacto,3,51.8
278,I00278,Fone de Ouvido Profissional EDIFIER WH950NB,4,899.0
279,I00279,Fone de ouvido Sem Fio QCY T27,1,129.86
280,I00280,SSD Crucial 1TB NVMe M.2,4,449.0
281,I00281,Carregador Turbo USB-C 30W,3,49.9
282,I00282,Samsung Galaxy Tab S6 Lite,3,1799.01
283,I00283,Película de Vidro 3D Galaxy A30s,2,17.9
284,I00284,Película de Vidro 3D Galaxy A30s,3,17.9
285,I00285,Carregador Turbo USB-C 30W,3,49.9
286,I00286,Fone de ouvido Sem Fio QCY T27,1,129.86
287,I00287,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
288,I00288,Fone de Ouvido Profissional AKG K92,1,428.99
289,I00289,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
290,I00290,Projetor EPSON Powerlite Wide Screen,2,2742.13
291,I00291,Samsung Galaxy A36,2,1979.1
292,I00292,ACER Notebook Gamer Nitro,4,4604.0
293,I00293,"Fone de Ouvido Sem Fio TWS, PHILIPS",4,124.91
294,I00294,Samsung Galaxy Tab S6 Lite,1,1799.01
295,I00295,Fone de Ouvido Profissional AKG K92,2,428.99
296,I00296,Mouse Redragon Wireless,1,165.99
297,I00297,Samsung Galaxy A36,4,1979.1
298,I00298,"Monitor UHD Samsung 32""",4,1626.57
299,I00299,"Fone de Ouvido Sem Fio TWS, PHILIPS",1,124.91
300,I00300,Teclado Mecanico Fizz,2,174.9
301,I00301,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
302,I00302,"Soundbar Tomate MTS-2017, Bivolt",2,769.9
303,I00303,Fone de ouvido Sem Fio QCY T27,4,129.86
304,I00304,Película de Vidro 3D Galaxy A30s,2,17.9
305,I00305,"Soundbar Samsung com 2.1 canais, Dolby Digital",1,1072.0
306,I00306,Mouse Redragon Wireless,2,165.99
307,I00307,Projetor EPSON Powerlite Wide Screen,3,2742.13
308,I00308,Carregador Turbo Tipo-C 50w,3,53.9
309,I00309,Teclado Mecanico Fizz,3,174.9
310,I00310,Mouse Redragon Wireless,3,165.99
311,I00311,"Soundbar Samsung com 2.1 canais, Dolby Digital",1,1072.0
312,I00312,Fone de Ouvido Profissional EDIFIER WH950NB,4,899.0
313,I00313,Samsung Galaxy A36,1,1979.1
314,I00314,Fone de Ouvido Profissional EDIFIER WH950NB,3,899.0
315,I00315,"Smart TV LED 32""Samsung LED Tizen TV",1,1079.0
316,I00316,Película de Vidro 3D Galaxy A30s,3,17.9
317,I00317,"Projetor Smart Epson EpiqVision, FULL HD",4,3049.99
318,I00318,Carregador Turbo Tipo-C 50w,4,53.9
319,I00319,Película para iPhone 14Pro Anti impacto,4,51.8
320,I00320,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99
321,I00321,Samsung Galaxy Tab S6 Lite,1,1799.01
322,I00322,Projetor EPSON Powerlite Wide Screen,3,2742.13
323,I00323,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
324,I00324,Samsung Galaxy A36,4,1979.1
325,I00325,SSD Crucial 1TB NVMe M.2,1,449.0
326,I00326,"Monitor UHD Samsung 32""",2,1626.57
327,I00327,Fone de Ouvido Profissional EDIFIER WH950NB,3,899.0
328,I00328,"Soundbar Tomate MTS-2017, Bivolt",1,769.9
329,I00329,"Smart TV LED 32""Samsung LED Tizen TV",3,1079.0
330,I00330,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
331,I00331,Carregador Turbo USB-C 30W,4,49.9
332,I00332,Película de Vidro 3D Galaxy A30s,1,17.9
333,I00333,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99
334,I00334,Fone de ouvido Sem Fio QCY T27,4,129.86
335,I00335,Smart TV 32” Philco LED Roku TV,2,949.0
336,I00336,Fone de Ouvido Profissional AKG K92,1,428.99
337,I00337,"Soundbar Samsung com 2.1 canais, Dolby Digital",1,1072.0
338,I00338,"Projetor Smart Epson EpiqVision, FULL HD",1,3049.99
339,I00339,Projetor EPSON Powerlite Wide Screen,4,2742.13
340,I00340,SSD Crucial 1TB NVMe M.2,1,449.0
341,I00341,Película para iPhone 14Pro Anti impacto,4,51.8
342,I00342,Smart TV 32” Philco LED Roku TV,3,949.0
343,I00343,Fone de Ouvido Profissional AKG K92,1,428.99
344,I00344,Fone de ouvido Sem Fio QCY T27,4,129.86
345,I00345,Carregador Turbo USB-C 30W,2,49.9
346,I00346,Fone de ouvido Sem Fio QCY T27,4,129.86
347,I00347,"Soundbar Tomate MTS-2017, Bivolt",3,769.9
348,I00348,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99
349,I00349,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
350,I00350,Película de Vidro 3D Galaxy A30s,2,17.9
351,I00351,Fone de ouvido Sem Fio QCY T27,3,129.86
352,I00352,Samsung Galaxy A36,2,1979.1
353,I00353,Projetor EPSON Powerlite Wide Screen,1,2742.13
354,I00354,Fone de Ouvido Profissional EDIFIER WH950NB,3,899.0
355,I00355,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99
356,I00356,Fone de Ouvido Profissional EDIFIER WH950NB,4,899.0
357,I00357,Teclado Mecanico Fizz,2,174.9
358,I00358,Película para iPhone 14Pro Anti impacto,1,51.8
359,I00359,Película de Vidro 3D Galaxy A30s,1,17.9
360,I00360,"Soundbar Samsung com 2.1 canais, Dolby Digital",3,1072.0
361,I00361,Mouse Redragon Wireless,2,165.99
362,I00362,Teclado Mecanico Fizz,4,174.9
363,I00363,ACER Notebook Gamer Nitro,2,4604.0
364,I00364,Mouse Redragon Wireless,1,165.99
365,I00365,Carregador Turbo USB-C 30W,4,49.9
366,I00366,Fone de Ouvido Profissional AKG K92,3,428.99
367,I00367,"Monitor UHD Samsung 32""",4,1626.57
368,I00368,Projetor EPSON Powerlite Wide Screen,1,2742.13
369,I00369,Fone de ouvido Sem Fio QCY T27,4,129.86
370,I00370,"Fone de Ouvido Sem Fio TWS, PHILIPS",3,124.91
371,I00371,"Fone de Ouvido Sem Fio TWS, PHILIPS",2,124.91
372,I00372,Película de Vidro 3D Galaxy A30s,3,17.9
373,I00373,Película de Vidro 3D Galaxy A30s,4,17.9
374,I00374,"Monitor UHD Samsung 32""",1,1626.57
375,I00375,"Monitor UHD Samsung 32""",1,1626.57
376,I00376,Carregador Turbo Tipo-C 50w,3,53.9
377,I00377,"Smart TV LED 32""Samsung LED Tizen TV",3,1079.0
378,I00378,Película de Vidro 3D Galaxy A30s,4,17.9
379,I00379,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
380,I00380,Samsung Galaxy Tab S6 Lite,1,1799.01
381,I00381,SSD Crucial 1TB NVMe M.2,2,449.0
382,I00382,Fone de Ouvido Profissional AKG K92,3,428.99
383,I00383,Projetor EPSON Powerlite Wide Screen,2,2742.13
384,I00384,Samsung Galaxy A36,2,1979.1
385,I00385,Película para iPhone 14Pro Anti impacto,2,51.8
386,I00386,Samsung Galaxy Tab S6 Lite,4,1799.01
387,I00387,Mouse Redragon Wireless,1,165.99
388,I00388,SSD Crucial 1TB NVMe M.2,4,449.0
389,I00389,Mouse Redragon Wireless,3,165.99
390,I00390,Projetor EPSON Powerlite Wide Screen,3,2742.13
391,I00391,Carregador Turbo USB-C 30W,1,49.9
392,I00392,Projetor EPSON Powerlite Wide Screen,3,2742.13
393,I00393,Película de Vidro 3D Galaxy A30s,1,17.9
394,I00394,Projetor EPSON Powerlite Wide Screen,2,2742.13
395,I00395,Fone de Ouvido Profissional AKG K92,2,428.99
396,I00396,ACER Notebook Gamer Nitro,3,4604.0
397,I00397,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
398,I00398,Teclado Mecanico Fizz,1,174.9
399,I00399,Samsung Galaxy Tab S6 Lite,1,1799.01
400,I00400,Projetor EPSON Powerlite Wide Screen,3,2742.13
401,I00401,SSD Crucial 1TB NVMe M.2,4,449.0
402,I00402,"Soundbar Tomate MTS-2017, Bivolt",3,769.9
403,I00403,ACER Notebook Gamer Nitro,1,4604.0
404,I00404,Fone de Ouvido Profissional EDIFIER WH950NB,3,899.0
405,I00405,"Fone de Ouvido Sem Fio TWS, PHILIPS",4,124.91
406,I00406,Película para iPhone 14Pro Anti impacto,3,51.8
407,I00407,Fone de Ouvido Profissional AKG K92,3,428.99
408,I00408,Fone de ouvido Sem Fio QCY T27,2,129.86
409,I00409,Carregador Turbo USB-C 30W,1,49.9
410,I00410,SSD Crucial 1TB NVMe M.2,1,449.0
411,I00411,Mouse Redragon Wireless,1,165.99
412,I00412,Fone de ouvido Sem Fio QCY T27,3,129.86
413,I00413,Carregador Turbo Tipo-C 50w,1,53.9
414,I00414,Película de Vidro 3D Galaxy A30s,2,17.9
415,I00415,Projetor EPSON Powerlite Wide Screen,4,2742.13
416,I00416,Projetor EPSON Powerlite Wide Screen,1,2742.13
417,I00417,Teclado Mecanico Fizz,2,174.9
418,I00418,"Fone de Ouvido Sem Fio TWS, PHILIPS",3,124.91
419,I00419,"Soundbar Tomate MTS-2017, Bivolt",3,769.9
420,I00420,Película de Vidro 3D Galaxy A30s,1,17.9
421,I00421,ACER Notebook Gamer Nitro,4,4604.0
422,I00422,"Monitor UHD Samsung 32""",1,1626.57
423,I00423,Samsung Galaxy Tab S6 Lite,3,1799.01
424,I00424,Carregador Turbo Tipo-C 50w,3,53.9
425,I00425,Fone de ouvido Sem Fio QCY T27,1,129.86
426,I00426,Película de Vidro 3D Galaxy A30s,2,17.9
427,I00427,"Monitor UHD Samsung 32""",3,1626.57
428,I00428,Carregador Turbo USB-C 30W,2,49.9
429,I00429,Teclado Mecanico Fizz,2,174.9
430,I00430,"Fone de Ouvido Sem Fio TWS, PHILIPS",4,124.91
431,I00431,Smart TV 32” Philco LED Roku TV,4,949.0
432,I00432,"Soundbar Samsung com 2.1 canais, Dolby Digital",3,1072.0
433,I00433,Smart TV 32” Philco LED Roku TV,4,949.0
434,I00434,Samsung Galaxy Tab S6 Lite,3,1799.01
435,I00435,Samsung Galaxy A36,3,1979.1
